時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2023-03-06 17:55:50.580,1,8201A0FF,No Relay,47,174,2950,1
2023-03-06 17:55:52.881,1,82019DEE,No Relay,55,210,3200,1
2023-03-06 17:55:53.089,1,820198F4,No Relay,46,210,2980,1
2023-03-06 17:55:53.393,1,8201A0FF,No Relay,48,177,2950,1
2023-03-06 17:55:54.320,1,82019C41,No Relay,64,177,2980,1
2023-03-06 17:55:55.103,1,82019C19,No Relay,45,177,2595,1
2023-03-06 17:55:55.294,1,82019DEE,No Relay,56,210,3190,1
2023-03-06 17:55:55.550,1,820198F4,No Relay,47,210,2980,1
2023-03-06 17:55:55.949,1,8201A0FF,No Relay,49,177,2950,1
2023-03-06 17:55:56.142,1,82019A14,No Relay,50,219,3180,1
2023-03-06 17:55:57.900,1,82019C19,No Relay,46,177,2595,1
2023-03-06 17:55:58.092,1,820198F4,No Relay,48,210,2980,1
2023-03-06 17:55:58.299,1,82019DEE,No Relay,57,210,3190,1
2023-03-06 17:55:58.810,1,8201A0FF,No Relay,50,177,2950,1
2023-03-06 17:55:59.003,1,82019A14,No Relay,51,219,3180,1
2023-03-06 17:55:59.960,1,82019C41,No Relay,66,180,2980,1
2023-03-06 17:56:00.567,1,820198F4,No Relay,49,210,2980,1
2023-03-06 17:56:00.776,1,82019DEE,No Relay,58,210,3190,1
2023-03-06 17:56:01.304,1,8201A0FF,No Relay,51,177,2950,1
2023-03-06 17:56:02.773,1,82019C41,No Relay,67,177,2980,1
2023-03-06 17:56:03.221,1,82019DEE,No Relay,59,210,3190,1
2023-03-06 17:56:03.956,1,8201A0FF,No Relay,52,177,2950,1
2023-03-06 17:56:04.403,1,82019A14,No Relay,53,219,3180,1
2023-03-06 17:56:05.555,1,82019C41,No Relay,68,177,2980,1
2023-03-06 17:56:05.841,1,82019C19,No Relay,49,177,2585,1
2023-03-06 17:56:06.033,1,820198F4,No Relay,51,210,2980,1
2023-03-06 17:56:06.241,1,82019DEE,No Relay,60,210,3190,1
2023-03-06 17:56:06.433,1,8201A0FF,No Relay,53,177,2950,1
2023-03-06 17:56:08.398,1,82019C19,No Relay,50,177,2595,1
2023-03-06 17:56:08.590,1,820198F4,No Relay,52,210,2980,1
2023-03-06 17:56:08.798,1,8201A0FF,No Relay,54,177,2950,1
2023-03-06 17:56:09.005,1,82019DEE,No Relay,61,210,3190,1
2023-03-06 17:56:09.597,1,82019A14,No Relay,55,219,3190,1
2023-03-06 17:56:10.699,1,82019C41,No Relay,70,177,3000,1
2023-03-06 17:56:11.050,1,82019C19,No Relay,51,177,2595,1
2023-03-06 17:56:11.322,1,82019DEE,No Relay,62,210,3190,1
